Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Women,Clothing,Western,Topwear,Topwear,color,Red,https://usa.tommy.com/en/women/clothing/tops/red?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Black,https://usa.tommy.com/en/women/clothing/tops/black?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Grey,https://usa.tommy.com/en/women/clothing/tops/grey?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Yellow,https://usa.tommy.com/en/women/clothing/tops/yellow?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Brown,https://usa.tommy.com/en/women/clothing/tops/brown?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Green,https://usa.tommy.com/en/women/clothing/tops/green?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Beige,https://usa.tommy.com/en/women/clothing/tops/beige?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Blue,https://usa.tommy.com/en/women/clothing/tops/blue?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,White,https://usa.tommy.com/en/women/clothing/tops/white?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Navy,https://usa.tommy.com/en/women/clothing/tops/navy?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Pink,https://usa.tommy.com/en/women/clothing/tops/pink?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,color,Ivory,https://usa.tommy.com/en/women/clothing/tops/ivory?srule=Featured_New+Badge&index=0&page=0&isRefinement=true
Women,Clothing,Western,Topwear,Topwear,fit,Classic Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=fit&prefv1=Classic%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,fit,Custom Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=fit&prefv1=Custom%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,fit,Oversized Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=fit&prefv1=Oversized%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,fit,Regular Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=fit&prefv1=Regular%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,fit,Relaxed Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=fit&prefv1=Relaxed%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,fit,Slim Fit,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=fit&prefv1=Slim%20Fit&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,sleeve_length,3/4 Sleeve,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=sleeveType&prefv1=3%2f4%20Sleeve&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,sleeve_length,Long Sleeve,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=sleeveType&prefv1=Long%20Sleeve&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,sleeve_length,Short Sleeve,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=sleeveType&prefv1=Short%20Sleeve&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,sleeve_length,Sleeveless,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=sleeveType&prefv1=Sleeveless&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,Boat Neck,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=Boat%20Neck&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,Cardigan,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=Cardigan&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,Collared,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=Collared&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,Crew Neck,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=Crew%20Neck&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,Hooded,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=Hooded&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,Mock Neck,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=Mock%20Neck&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,Quarter Zips,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=Quarter%20Zip&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,Turtleneck,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=Turtleneck&srule=Featured_New%20Badge
Women,Clothing,Western,Topwear,Topwear,neckline,V-Neck,https://usa.tommy.com/on/demandware.store/Sites-PVHTHUS-Site/en_US/Search-ShowAjax?cgid=Folder_19514325&prefn1=neckline&prefv1=V-Neck&srule=Featured_New%20Badge
